0	0	1	2	1	2	0	10	12	10	10	37	10,05
1	0	1	1	1	2	0	10	10	10	11	37	11,34
0	0	0	4	1	3	0	13	12	10	11	31	11,47
0	0	1	1	1	3	0	10	12	11	10	37	11,54
0	0	1	4	1	3	0	18	10	11	10	38	11,76
0	0	1	4	4	2	0	17	16	15	15	37	16,66
1	0	0	0	1	2	1	14	12	17	13	36	15,63
0	2	1	4	1	3	0	12	16	16	17	50	15,55
0	0	0	4	2	3	0	14	14	19	18	37	16,90
0	0	1	1	3	1	0	20	20	20	20	37	19,95
0	0	0	3	4	2	0	20	20	20	20	38	19,76
1	0	1	4	4	2	0	20	19	20	20	37	19,27
1	0	1	4	0	4	0	20	19	20	19	37	19,07
1	0	1	4	1	2	0	19	18	20	16	38	19,05
0	0	1	4	1	3	0	19	20	20	20	37	18,98
0	1	1	1	1	3	0	14	10	13	12	42	13,13
1	0	1	3	0	2	0	18	19	18	18	37	18,71
1	0	1	4	2	3	0	16	18	19	19	37	18,66
1	0	1	3	0	4	0	17	16	17	19	37	18,59
0	1	1	2	1	3	0	13	12	10	11	42	13,96
0	0	1	1	1	3	0	19	19	18	18	37	18,37
0	0	1	2	1	2	0	17	16	19	19	37	18,27
0	0	1	2	0	4	0	15	16	17	20	34	18,29
0	1	0	2	4	0	0	10	10	15	19	39	14,98
0	1	0	2	1	2	0	16	18	19	18	39	17,37
1	0	1	1	1	3	0	19	18	18	17	38	18,21
1	0	1	4	1	3	0	16	18	19	14	37	18,2
1	0	0	4	1	2	0	18	19	19	16	37	18,15
1	0	0	2	3	1	0	17	19	19	19	37	18,07
1	0	0	2	1	3	0	16	14	19	19	37	18,07
0	0	1	3	0	2	0	18	18	19	16	37	18,05
1	0	0	3	1	3	0	17	17	16	19	38	18,02
1	0	1	4	2	1	0	19	17	19	17	37	18,51
1	1	1	4	4	2	0	11	13	14	15	39	14,05
0	0	1	2	1	3	0	10	10	13	11	37	11,85
1	0	0	1	1	3	0	11	10	10	13	37	11,9
1	0	1	4	1	2	0	10	14	10	11	37	11,93
1	0	1	2	1	3	0	12	10	10	10	37	11,93
1	0	1	4	0	4	0	10	10	11	15	37	12,07
1	0	0	4	1	3	0	14	15	11	10	37	12,12
1	0	1	4	0	4	0	15	10	10	11	37	12,12
0	0	1	1	1	3	0	11	11	10	11	37	12,15
0	0	1	4	1	2	0	12	10	10	12	37	12,15
1	0	1	4	1	3	0	12	10	10	11	27	12,16
0	0	1	4	1	3	0	11	17	10	13	38	12,17
1	0	1	4	1	2	0	10	10	12	11	37	12,2
0	0	1	3	1	2	0	10	10	10	10	37	12,32
0	0	1	3	1	3	0	14	11	10	10	37	12,37
